ticker,strategy,annualized_return_base,annualized_return_with_cost,annualized_return_drag
AAPL,Buy & Hold,0.2760048959231389,0.2758860206136773,0.00011887530946164127
AAPL,SMA 50/200,0.20171406162912842,0.200505360325679,0.001208701303449411
AAPL,Momentum 12M (absolute),0.18030438631344414,0.17354638957165647,0.006757996741787675
AAPL,RSI 14,0.02946596464688689,0.02665759285361058,0.0028083717932763097
CAT,Buy & Hold,0.16622176838655367,0.16611544917967547,0.00010631920687820262
CAT,SMA 50/200,0.06774421230727445,0.0660857262062029,0.0016584861010715546
CAT,Momentum 12M (absolute),0.09599676659376222,0.09130104922386306,0.004695717369899155
CAT,RSI 14,0.05266034970308886,0.0487327236678734,0.003927626035215459
IWM,Buy & Hold,0.07622608310617429,0.07612851911992546,9.756398624882756e-05
IWM,SMA 50/200,0.0036502127103261728,0.0021005320581855003,0.0015496806521406725
IWM,Momentum 12M (absolute),0.03194735573168073,0.024174486124610484,0.007772869607070243
IWM,RSI 14,0.01301136297852068,0.010055109423637187,0.0029562535548834923
JNJ,Buy & Hold,0.07227923686179993,0.07218240896959238,9.682789220755161e-05
JNJ,SMA 50/200,0.002283174141196831,0.0003711005928839217,0.0019120735483129092
JNJ,Momentum 12M (absolute),0.007466745453620138,0.00014624085907377626,0.007320504594546362
JNJ,RSI 14,0.00955319793658349,0.0065202816646257045,0.0030329162719577862
JPM,Buy & Hold,0.16868899214141875,0.16858332459433645,0.00010566754708229986
JPM,SMA 50/200,0.117593561558194,0.1164680094099193,0.0011255521482747
JPM,Momentum 12M (absolute),0.038502887227004345,0.03272973893751363,0.005773148289490715
JPM,RSI 14,0.03936970020663977,0.036166158729566966,0.003203541477072802
QQQ,Buy & Hold,0.1846437233302758,0.18453499957415143,0.00010872375612436258
QQQ,SMA 50/200,0.16829891711025935,0.16712818266116347,0.0011707344490958782
QQQ,Momentum 12M (absolute),0.1344077055449242,0.1297526435524181,0.004655061992506093
QQQ,RSI 14,0.04063123435880667,0.0379817308374224,0.0026495035213842666
SPY,Buy & Hold,0.13164367836813717,0.13154055200234116,0.00010312636579601353
SPY,SMA 50/200,0.09186421149242863,0.09076874626107245,0.0010954652313561741
SPY,Momentum 12M (absolute),0.07718265577102024,0.07198476695596145,0.005197888815058782
SPY,RSI 14,0.017518538280085538,0.01510697774620784,0.002411560533877699
WMT,Buy & Hold,0.1420875883895636,0.14198318319592063,0.00010440519364296463
WMT,SMA 50/200,0.07138834227067692,0.069339695363698,0.0020486469069789237
WMT,Momentum 12M (absolute),0.10890773443390045,0.10336778347145703,0.0055399509624434184
WMT,RSI 14,0.028519003462692316,0.025706751384248383,0.002812252078443933
XOM,Buy & Hold,0.05032781148730714,0.05023188017360636,9.593131370078112e-05
XOM,SMA 50/200,0.027839498996311773,0.02606332288423796,0.0017761761120738129
XOM,Momentum 12M (absolute),0.03562382570832057,0.03025785108708612,0.005365974621234448
XOM,RSI 14,0.02243968764578974,0.018435027920292724,0.004004659725497017
